start_ms	end_ms	sp	kind	text
2610	3500	SP2	lat	/claps/
2610	3500	SP2	cyr	/claps/
3770	4921	SP2	lat	ajde može
3770	4921	SP2	cyr	ајде може
5350	7938	SP1	lat	si bile tri sestri
5350	7938	SP1	cyr	си биле три сестри
8603	9640	SP1	lat	ama
8603	9640	SP1	cyr	ама
9981	12070	SP1	lat	bile mnogu, mnogu mrzlivi
9981	12070	SP1	cyr	биле многу, многу мрзливи
12256	13290	SP1	lat	vo selo
12256	13290	SP1	cyr	во село
14134	16109	SP1	lat	odele na češma na voda
14134	16109	SP1	cyr	оделе на чешма на вода
16860	20497	SP1	lat	so bardinjata nemijani, prljavi
16860	20497	SP1	cyr	со бардињата немијани, прљави
20800	23702	SP1	lat	ne se, ne se češlale, ne se oblekuvale
20800	23702	SP1	cyr	не се, не се чешлале, не се облекувале
23780	25719	SP1	lat	i nikoj, nikoj ne gi sakal
23780	25719	SP1	cyr	и никој, никој не ги сакал
26250	28059	SP1	lat	nikoj strojnik ne gi sakal
26250	28059	SP1	cyr	никој стројник не ги сакал
29840	30640	SP1	lat	i
29840	30640	SP1	cyr	и
31320	32496	SP1	lat	šo praat tie
31320	32496	SP1	cyr	шо праат тие
33260	35234	SP1	lat	odat na češmata
33260	35234	SP1	cyr	одат на чешмата
36060	37777	SP1	lat	i vikat abe
36060	37777	SP1	cyr	и викат абе
38490	39210	SP1	lat	eden
38490	39210	SP1	cyr	еден
40440	43960	SP1	lat	nekoja baba ja prašale, zošto, vika, nemožime da se
40440	43960	SP1	cyr	некоја баба ја прашале, зошто, вика, неможиме да се
44370	47541	SP1	lat	da se omažime, nie sme tri sestri site
44370	47541	SP1	cyr	да се омажиме, ние сме три сестри сите
48124	50677	SP1	lat	zošto, vika, koa ḱe odite na voda
48124	50677	SP1	cyr	зошто, вика, коа ќе одите на вода
51114	54330	SP1	lat	da gi, da se isčešlate, da se oblečite
51114	54330	SP1	cyr	да ги, да се исчешлате, да се облечите
54370	56138	SP1	lat	da gi izmijate bardinjata
54370	56138	SP1	cyr	да ги измијате бардињата
56512	59230	SP1	lat	da, da napolnite ubava voda
56512	59230	SP1	cyr	да, да наполните убава вода
59810	61216	SP1	lat	da napolnite
59810	61216	SP1	cyr	да наполните
61900	64072	SP1	lat	i, i posle
61900	64072	SP1	cyr	и, и после
64440	67290	SP1	lat	i toa, koa idat
64440	67290	SP1	cyr	и тоа, коа идат
68300	70190	SP1	lat	idat od, od voda
68300	70190	SP1	cyr	идат од, од вода
70480	72688	SP1	lat	sega idat dvajca starci
70480	72688	SP1	cyr	сега идат двајца старци
73330	75903	SP1	lat	dvajca maži taka, nekoi postari
73330	75903	SP1	cyr	двајца мажи така, некои постари
76270	77268	SP1	lat	i vika
76270	77268	SP1	cyr	и вика
77310	81250	SP1	lat	sakate, vika, sega da ve... vi kažam, koja jet od ovie tri, vika
77310	81250	SP1	cyr	сакате, вика, сега да ве... ви кажам, која јет од овие три, вика
81550	82849	SP1	lat	najloša?
81550	82849	SP1	cyr	најлоша?
84800	86745	SP1	lat	i tie, znaiš
84800	86745	SP1	cyr	и тие, знаиш
86790	88701	SP1	lat	edna bila poluta
86790	88701	SP1	cyr	една била полута
89160	93659	SP1	lat	koja reče naj...? i taa vaka, koj bre magare reče?
89160	93659	SP1	cyr	која рече нај... и таа вака, кој бре магаре рече?
94572	96249	SP1	lat	ti, reče, si
94572	96249	SP1	cyr	ти, рече, си
96361	98539	SP1	lat	ti si, reče, najlošata devojka!
96361	98539	SP1	cyr	ти си, рече, најлошата девојка!
100207	102209	SP1	lat	ova, ova tolku e, kratko
100207	102209	SP1	cyr	ова, ова толку е, кратко
101990	102840	SP2	lat	dobro e
101990	102840	SP2	cyr	добро е
102800	103744	SP1	lat	dobra e?
102800	103744	SP1	cyr	добра е?
103293	103823	SP2	lat	da
103293	103823	SP2	cyr	да
