start_ms	end_ms	sp	kind	text
7860	10855	SP1	lat	vo edno selo si živeeše edna majka
7860	10855	SP1	cyr	во едно село си живееше една мајка
11380	13204	SP1	lat	taa imaše edno
11380	13204	SP1	cyr	таа имаше едно
13950	14860	SP1	lat	edna ḱerka
13950	14860	SP1	cyr	една ќерка
15550	17690	SP1	lat	ama ne sakaše mnogu da raboti
15550	17690	SP1	cyr	ама не сакаше многу да работи
18134	20323	SP1	lat	i da ja nauči majkata da raboti
18134	20323	SP1	cyr	и да ја научи мајката да работи
20690	24140	SP1	lat	ja prati eden den da odi na nivata
20690	24140	SP1	cyr	ја прати еден ден да оди на нивата
24957	26723	SP1	lat	tamu trebaše da nabere
24957	26723	SP1	cyr	таму требаше да набере
27761	28320	SP1	lat	mnogu
27761	28320	SP1	cyr	многу
29243	30563	SP1	lat	ovoa... produkti
29243	30563	SP1	cyr	овоа... продукти
31130	34245	SP1	lat	kojšo trebaše da gi kači... da gi tovari na edno magare
31130	34245	SP1	cyr	којшо требаше да ги качи... да ги товари на едно магаре
35165	37776	SP1	lat	i devojčeto gi nabra jabolkata
35165	37776	SP1	cyr	и девојчето ги набра јаболката
38351	39066	SP1	lat	vo vreḱi
38351	39066	SP1	cyr	во вреќи
39406	41256	SP1	lat	gi donese do magareto
39406	41256	SP1	cyr	ги донесе до магарето
41682	43630	SP1	lat	ama nemožeše da gi kači
41682	43630	SP1	cyr	ама неможеше да ги качи
44164	46626	SP1	lat	majkata, pred da trgne, ì kaža
44164	46626	SP1	cyr	мајката, пред да тргне, и кажа
47454	49001	SP1	lat	ḱe vikaš Mako, Mako!
47454	49001	SP1	cyr	ќе викаш Мако, Мако!
49451	50771	SP1	lat	i Makata ḱe dojde
49451	50771	SP1	cyr	и Маката ќе дојде
50853	53680	SP1	lat	i taa ḱe ti pomogne da gi kačiš vreḱite
50853	53680	SP1	cyr	и таа ќе ти помогне да ги качиш вреќите
54560	56847	SP1	lat	devojčeto se seti toa šo ì kaža
54560	56847	SP1	cyr	девојчето се сети тоа шо и кажа
57230	58001	SP1	lat	majkata
57230	58001	SP1	cyr	мајката
58190	59760	SP1	lat	i počna da vika
58190	59760	SP1	cyr	и почна да вика
60060	62330	SP1	lat	Mako, Mako, dojdi da mi pomogneš!
60060	62330	SP1	cyr	Мако, Мако, дојди да ми помогнеш!
63080	65010	SP1	lat	ama Makata nikaku ne dovojǵaše
63080	65010	SP1	cyr	ама маката никаку не довојѓаше
65979	66803	SP1	lat	se stemni
65979	66803	SP1	cyr	се стемни
68151	71363	SP1	lat	dojde i Noḱta, Makata ne dojde
68151	71363	SP1	cyr	дојде и Ноќта, Маката не дојде
71744	72848	SP1	lat	togaš devojčeto
71744	72848	SP1	cyr	тогаш девојчето
73384	74159	SP1	lat	se potrudi
73384	74159	SP1	cyr	се потруди
74330	75678	SP1	lat	da gi digne vreḱite
74330	75678	SP1	cyr	да ги дигне вреќите
75816	77390	SP1	lat	da gi kači na magareto
75816	77390	SP1	cyr	да ги качи на магарето
77660	78990	SP1	lat	i da gi odnese do doma
77660	78990	SP1	cyr	и да ги однесе до дома
79845	81080	SP1	lat	majkata ja praša
79845	81080	SP1	cyr	мајката ја праша
81750	82674	SP1	lat	kako projde?
81750	82674	SP1	cyr	како пројде?
83540	87798	SP1	lat	veruj, mamo vikav Mako, Mako! ama taa nikako da dojde!
83540	87798	SP1	cyr	веруј, мамо викав Мако, Мако! ама таа никако да дојде!
88088	91170	SP1	lat	i jas najposle sama gi krenav vreḱite
88088	91170	SP1	cyr	и јас најпосле сама ги кренав вреќите
91780	92588	SP1	lat	na magareto
91780	92588	SP1	cyr	на магарето
93312	94449	SP1	lat	majkata reče
93312	94449	SP1	cyr	мајката рече
94909	96069	SP1	lat	e, tova e
94909	96069	SP1	cyr	е, това е
96720	97310	SP1	lat	Makata
96720	97310	SP1	cyr	маката
97880	98336	SP1	lat	sam
97880	98336	SP1	cyr	сам
98696	102082	SP1	lat	treba da se potrudiš da ja završiš rabotata
98696	102082	SP1	cyr	треба да се потрудиш да ја завршиш работата
